price,miles,year,previous_owners,body_type,engine,doors,seats,brand,model,age,brand_freq,model_freq,body_type_freq,service_history_True,gearbox_Manual,fuel_type_Diesel Hybrid,fuel_type_Electric,fuel_type_Petrol,fuel_type_Petrol Hybrid,fuel_type_Petrol Plug-in Hybrid,emission_class_Euro 2,emission_class_Euro 3,emission_class_Euro 4,emission_class_Euro 5,emission_class_Euro 6,emission_class_Unknown
10799,63000,2016,2.0,Hatchback,1.2,3.0,4.0,BMW,1 Series,7,0.07357398732433178,0.012675668228162029,0.618627721135299,False,True,False,False,True,False,False,False,False,False,False,True,False
3999,71000,2011,2.0,SUV,1.2,3.0,4.0,Nissan,Qashqai+2,12,0.0487737668779278,0.002755580049600441,0.12427666023697989,False,True,False,False,False,False,False,False,False,False,True,False,False
999,111400,2007,2.0,Hatchback,1.2,3.0,4.0,Peugeot,207,16,0.06530724717553045,0.012951226233122072,0.618627721135299,False,True,False,False,False,False,False,False,False,True,False,False,False
8975,86500,2017,0.0,Hatchback,1.2,3.0,4.0,Ford,Focus,6,0.1118765500137779,0.04408928079360706,0.618627721135299,False,True,False,False,False,False,False,False,False,False,False,True,False
9149,55301,2016,0.0,Hatchback,1.2,3.0,4.0,Peugeot,308,7,0.06530724717553045,0.013226784238082117,0.618627721135299,False,True,False,False,False,False,False,False,False,False,False,True,False
2100,132000,2006,7.0,Hatchback,1.2,3.0,4.0,MINI,Hatch,17,0.026453568476164233,0.02149352438688344,0.618627721135299,False,True,False,False,True,False,False,False,False,True,False,False,False
2395,96195,2006,0.0,Hatchback,1.2,3.0,4.0,Nissan,Micra,17,0.0487737668779278,0.005511160099200882,0.618627721135299,True,False,False,False,True,False,False,False,False,True,False,False,False
3750,78656,2007,5.0,Hatchback,1.3,3.0,5.0,Volkswagen,Golf,16,0.07467621934417194,0.014604574262882336,0.618627721135299,False,True,False,False,True,False,False,False,False,True,False,False,False
1995,120000,2004,6.0,Hatchback,1.2,3.0,4.0,Volkswagen,Golf,19,0.07467621934417194,0.014604574262882336,0.618627721135299,False,True,False,False,True,False,False,False,False,True,False,False,False
1790,72370,2006,3.0,Hatchback,1.3,3.0,5.0,Volkswagen,Beetle,17,0.07467621934417194,0.003306696059520529,0.618627721135299,False,True,False,False,True,False,False,False,False,True,False,False,False
4950,32331,2014,2.0,Hatchback,1.2,5.0,5.0,Ford,Focus,9,0.1118765500137779,0.04408928079360706,0.618627721135299,True,True,False,False,False,False,False,False,False,False,True,False,False
6750,33000,2013,0.0,Hatchback,2.0,5.0,5.0,Honda,Honda Jazz,10,0.029484706530724717,0.0002755580049600441,0.618627721135299,False,False,False,False,False,True,False,False,False,False,False,False,True
